This file is created using RaceChrono v6.2.1 ( http://www.racechrono.com/ ).
Format,2,"Format 1 = static columns","Format 2 = new format with dynamic columns; only channel header string is fixed, number of columns and channels' column numbers are variable."
Session title,"46, Trzebnicka, Cerekwica, Województwo dolnośląskie, PL"
Session type,Lap timing
Track name,"46, Trzebnicka, Cerekwica, Województwo dolnośląskie, PL"
Driver name,
Export scope,Session start
Created,06/04/2020,16:02
Note,

Time (s),Session fragment #,Lap #,Trap name,X-position (m),Y-position (m),Distance (m),Speed (m/s),Altitude (m),Bearing (deg),Lateral acceleration (m/s2),Longitudinal acceleration (m/s2),Device update rate (Hz),Elapsed time (s),Lean angle (deg),Combined acceleration (m/s2),Latitude (deg),Longitude (deg),Satellites (sats),Fix type,Accuracy (m)
1586188940.232,0,1,New trap,-0.000,-0.000,6.660,0.147,235.667,0.000,,,,0.891,,,51.3132193,17.1183149,19,1,16.111
1586188940.343,0,1,,0.167,0.815,7.492,0.150,234.000,0.000,0.000,0.028,1.0,1.002,0.000,0.031,51.3132267,17.1183173,20,1,15.000
1586188941.000,0,1,,1.140,2.057,9.069,0.090,234.000,0.000,0.000,-0.090,1.2,1.659,0.000,0.090,51.3132378,17.1183313,20,1,15.000
1586188942.000,0,1,,1.082,2.205,9.228,0.000,233.000,0.000,0.000,-0.090,1.2,2.659,0.000,0.090,51.3132392,17.1183305,20,1,18.000
1586188943.000,0,1,,1.372,2.224,9.519,0.000,234.000,0.000,0.000,0.000,1.0,3.659,0.000,0.000,51.3132393,17.1183347,24,1,18.000
1586188944.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,4.659,0.000,0.000,51.3132393,17.1183358,24,1,18.000
1586188945.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,5.659,0.000,0.000,51.3132393,17.1183358,24,1,11.000
1586188946.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,6.659,0.000,0.000,51.3132393,17.1183358,24,1,9.000
1586188947.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,7.659,0.000,0.000,51.3132393,17.1183358,24,1,8.000
1586188948.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,8.659,0.000,0.000,51.3132393,17.1183358,24,1,7.000
1586188949.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,9.659,0.000,0.000,51.3132393,17.1183358,24,1,6.000
1586188950.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,10.659,0.000,0.000,51.3132393,17.1183358,23,1,6.000
1586188951.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,11.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188952.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,12.659,0.000,0.000,51.3132393,17.1183358,23,1,5.000
1586188953.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,13.659,0.000,0.000,51.3132393,17.1183358,24,1,6.000
1586188954.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,14.659,0.000,0.000,51.3132393,17.1183358,24,1,7.000
1586188955.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,15.659,0.000,0.000,51.3132393,17.1183358,24,1,6.000
1586188956.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,16.659,0.000,0.000,51.3132393,17.1183358,23,1,6.000
1586188957.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,17.659,0.000,0.000,51.3132393,17.1183358,22,1,7.000
1586188958.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,18.659,0.000,0.000,51.3132393,17.1183358,23,1,7.000
1586188959.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,19.659,0.000,0.000,51.3132393,17.1183358,21,1,8.000
1586188960.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,20.659,0.000,0.000,51.3132393,17.1183358,23,1,8.000
1586188961.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,21.659,0.000,0.000,51.3132393,17.1183358,23,1,8.000
1586188962.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,22.659,0.000,0.000,51.3132393,17.1183358,24,1,8.000
1586188963.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,23.659,0.000,0.000,51.3132393,17.1183358,22,1,8.000
1586188964.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,24.659,0.000,0.000,51.3132393,17.1183358,24,1,8.000
1586188965.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,25.659,0.000,0.000,51.3132393,17.1183358,24,1,7.000
1586188966.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,26.659,0.000,0.000,51.3132393,17.1183358,24,1,7.000
1586188967.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,27.659,0.000,0.000,51.3132393,17.1183358,24,1,8.000
1586188968.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,28.659,0.000,0.000,51.3132393,17.1183358,24,1,7.000
1586188969.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,29.659,0.000,0.000,51.3132393,17.1183358,24,1,7.000
1586188970.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,30.659,0.000,0.000,51.3132393,17.1183358,23,1,6.000
1586188971.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,31.659,0.000,0.000,51.3132393,17.1183358,24,1,6.000
1586188972.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,32.659,0.000,0.000,51.3132393,17.1183358,24,1,6.000
1586188973.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,33.659,0.000,0.000,51.3132393,17.1183358,23,1,6.000
1586188974.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,34.659,0.000,0.000,51.3132393,17.1183358,22,1,6.000
1586188975.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,35.659,0.000,0.000,51.3132393,17.1183358,22,1,6.000
1586188976.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,36.659,0.000,0.000,51.3132393,17.1183358,23,1,6.000
1586188977.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,37.659,0.000,0.000,51.3132393,17.1183358,24,1,6.000
1586188978.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,38.659,0.000,0.000,51.3132393,17.1183358,22,1,5.000
1586188979.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,39.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188980.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,40.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188981.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,41.659,0.000,0.000,51.3132393,17.1183358,24,1,4.000
1586188982.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,42.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188983.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,43.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188984.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,44.659,0.000,0.000,51.3132393,17.1183358,23,1,5.000
1586188985.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,45.659,0.000,0.000,51.3132393,17.1183358,24,1,6.000
1586188986.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,46.659,0.000,0.000,51.3132393,17.1183358,22,1,5.000
1586188987.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,47.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188988.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,48.659,0.000,0.000,51.3132393,17.1183358,22,1,5.000
1586188989.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,49.659,0.000,0.000,51.3132393,17.1183358,23,1,5.000
1586188990.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,50.659,0.000,0.000,51.3132393,17.1183358,24,1,4.000
1586188991.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,51.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188992.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,52.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188993.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,53.659,0.000,0.000,51.3132393,17.1183358,24,1,5.000
1586188994.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,54.659,0.000,0.000,51.3132393,17.1183358,20,1,5.000
1586188995.000,0,1,,1.453,2.224,9.600,0.000,234.000,0.000,0.000,0.000,1.0,55.659,0.000,0.000,51.3132393,17.1183358,23,1,5.000
1586188996.000,0,1,,1.917,2.409,10.099,0.600,234.000,67.400,-0.666,0.600,1.0,56.659,3.884,0.896,51.3132410,17.1183425,23,1,5.000
1586188997.000,0,1,,2.947,2.354,11.131,1.170,234.000,70.100,-0.055,0.570,1.0,57.659,0.322,0.573,51.3132405,17.1183573,23,1,5.000
1586188998.000,0,1,,4.546,2.928,12.830,1.260,234.000,67.600,0.055,0.090,1.0,58.659,-0.321,0.105,51.3132457,17.1183803,24,1,4.000
1586188999.000,0,1,,5.820,3.391,14.186,0.980,233.000,64.100,0.060,-0.280,1.0,59.659,-0.350,0.286,51.3132498,17.1183987,24,1,5.000
1586189000.000,0,1,,6.330,3.688,14.775,0.210,233.000,62.200,0.007,-0.770,1.0,60.659,-0.041,0.770,51.3132525,17.1184060,24,1,6.000
1586189001.000,0,1,,6.318,3.651,14.814,0.000,233.000,0.000,0.000,-0.210,1.0,61.659,0.000,0.210,51.3132522,17.1184058,24,1,6.000
1586189002.000,0,1,,6.678,3.781,15.196,0.560,233.000,52.000,-0.491,0.560,1.0,62.659,2.866,0.745,51.3132533,17.1184110,23,1,6.000
1586189003.000,0,1,,7.512,4.874,16.571,1.980,233.000,32.100,0.684,1.420,1.0,63.659,-3.991,1.576,51.3132632,17.1184230,24,1,5.000
1586189004.000,0,1,,7.778,6.709,18.425,2.210,233.000,9.500,0.866,0.230,1.0,64.659,-5.047,0.896,51.3132797,17.1184268,23,1,5.000
1586189005.000,0,1,,6.921,8.970,20.843,2.650,233.000,330.400,1.774,0.440,1.0,65.659,-10.251,1.827,51.3133000,17.1184145,24,1,5.000
1586189006.000,0,1,,3.770,10.860,24.518,4.020,233.000,292.200,2.631,1.370,1.0,66.659,-15.017,2.966,51.3133170,17.1183692,24,1,5.000
1586189007.000,0,1,,-1.640,11.249,29.941,5.180,233.000,268.800,2.101,1.160,1.0,67.659,-12.092,2.400,51.3133205,17.1182913,24,1,4.000
1586189008.000,0,1,,-7.351,10.545,35.696,5.640,233.000,260.800,0.787,0.460,1.0,68.659,-4.587,0.911,51.3133142,17.1182092,24,1,5.000
1586189009.000,0,1,,-13.212,9.062,41.742,6.350,234.000,256.200,0.510,0.710,1.0,69.659,-2.975,0.874,51.3133008,17.1181248,24,1,5.000
1586189010.000,0,1,,-20.429,7.654,49.095,7.420,233.000,258.900,-0.350,1.070,1.0,70.659,2.042,1.126,51.3132882,17.1180210,22,1,4.000
