This file is created using RaceChrono v6.2.1 ( http://www.racechrono.com/ ).
Format,2,"Format 1 = static columns","Format 2 = new format with dynamic columns; only channel header string is fixed, number of columns and channels' column numbers are variable."
Session title,"grudziadzka"
Session type,Lap timing
Track name,"grudziadzka"
Driver name,
Export scope,Session start
Created,10/04/2020,15:25
Note,

Time (s),Session fragment #,Lap #,Trap name,X-position (m),Y-position (m),Distance (m),Speed (m/s),Altitude (m),Bearing (deg),Lateral acceleration (m/s2),Longitudinal acceleration (m/s2),Device update rate (Hz),Elapsed time (s),Lean angle (deg),Combined acceleration (m/s2),Latitude (deg),Longitude (deg),Satellites (sats),Fix type,Accuracy (m)
1586532355.503,0,,,-0.000,-0.000,6.025,0.120,172.000,0.000,0.000,-0.259,1.0,1.002,0.000,0.259,51.1372740,17.0752130,11,1,21.000
1586532356.506,0,,,8.907,-5.133,16.306,0.700,180.000,23.100,-0.279,0.578,1.0,2.005,1.632,0.642,51.1372278,17.0753407,19,1,20.000
1586532357.507,0,,,-2.733,1.927,29.920,0.800,171.000,24.400,-0.018,0.100,1.0,3.006,0.106,0.102,51.1372913,17.0751738,19,1,20.000
1586532358.508,0,,,5.140,2.446,37.809,0.440,167.000,24.600,-0.002,-0.360,1.0,4.007,0.009,0.360,51.1372960,17.0752867,19,1,21.000
1586532359.509,0,,,3.582,6.468,42.122,0.320,172.000,24.700,-0.001,-0.120,1.0,5.008,0.003,0.120,51.1373322,17.0752643,20,1,22.000
1586532360.510,0,,,2.128,8.581,44.686,0.470,174.000,24.800,-0.001,0.150,1.0,6.009,0.005,0.150,51.1373512,17.0752435,20,1,22.000
1586532361.348,0,,,1.616,8.432,45.219,0.510,172.000,15.200,0.102,0.044,1.1,6.847,-0.597,0.115,51.1373498,17.0752362,24,1,17.000
1586532362.000,0,,,2.640,2.576,51.164,0.360,174.000,2.100,0.126,-0.226,1.3,7.499,-0.734,0.260,51.1372972,17.0752508,24,1,12.000
1586532363.000,0,,,3.116,5.523,54.149,0.000,175.000,0.000,0.000,-0.360,1.0,8.499,0.000,0.360,51.1373237,17.0752577,24,1,10.000
1586532364.000,0,,,3.116,5.523,54.149,0.000,175.000,0.000,0.000,0.000,1.0,9.499,0.000,0.000,51.1373237,17.0752577,23,1,11.000
1586532365.000,0,,,3.116,5.523,54.149,0.000,175.000,0.000,0.000,0.000,1.0,10.499,0.000,0.000,51.1373237,17.0752577,22,1,9.000
1586532366.000,0,,,3.116,5.523,54.149,0.000,175.000,0.000,0.000,0.000,1.0,11.499,0.000,0.000,51.1373237,17.0752577,22,1,9.000
